round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,last_activation,losses,lr,optimizer,shape,weight_regulizer
100,0.18018691901848696,0.09906542,0.18134328589510562,0.09328358,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.3682351143560676,0.09953271,2.347482649248038,0.10261194,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.3507903665025656,0.09672897,2.3196961452711875,0.12126866,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.303059854240061,0.0953271,2.306739454838767,0.09701493,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.3030287586639973,0.101401865,2.3055691327621686,0.08208955,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.3809488764433104,0.10654206,2.3928139921444567,0.104477614,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.3890439113723896,0.09626168,2.98600518881385,0.12686567,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.6828068131598357,0.09719626,2.6646886797093634,0.12126866,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.7657502526434783,0.10327103,2.946284863486219,0.08208955,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3129198016407333,0.09018692,2.302191164956164,0.12126866,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.3094784972823668,0.098130845,2.3279812834156095,0.08395522,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.743951421363332,0.108411215,8.46000853581215,0.10261194,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,5.637074782469562,0.10046729,9.495036039779436,0.09328358,relu,32,0.5,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18112150037957128,0.09439252,0.17910448406169663,0.104477614,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.18168224745264677,0.09158879,0.17873134853234932,0.106343284,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.0007238575405672317,0.99626166,0.00336340045901725,0.9794776,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.0008218193581620219,0.9957944,0.0037555159845256564,0.97761196,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18009346252846942,0.09953271,0.1757462727489756,0.12126866,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.17897196810379207,0.10514019,0.1805970195069242,0.09701493,relu,16,0,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18168224753620468,0.09158879,0.17873134764272774,0.106343284,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17934579910518966,0.10327103,0.17947761625496308,0.10261194,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.18046729400336187,0.09766355,0.18320896065057213,0.08395522,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.17878505047236648,0.106074765,0.18358209284383858,0.08208955,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18046729475538306,0.09766355,0.18320895976095058,0.08395522,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18168224809325745,0.09158879,0.17873134764272774,0.106343284,relu,16,0,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.369865925512581,0.1,2.4022233984363615,0.09328358,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.394112983151017,0.11168224,2.3622287956636345,0.08208955,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.303000464394828,0.10420561,2.30574205028477,0.08208955,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,1.4827151612700702,0.38504672,1.5631223934799878,0.3283582,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.415198011041802,0.092523366,2.4356595117654374,0.09701493,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.4118792850280477,0.10186916,2.448258976438152,0.08208955,relu,16,0,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,3.1575927542748854,0.10280374,2.896308140968209,0.106343284,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,3.0162760159679665,0.09953271,3.8276201789058857,0.08395522,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3102091869461203,0.09719626,2.3202692465995676,0.09701493,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.310766422859976,0.10093458,2.30586420600094,0.12126866,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.958708567931273,0.10934579,8.673345729486266,0.106343284,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,6.003977961852172,0.108411215,6.010613825783801,0.08395522,relu,16,0,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.17962617297595906,0.10186916,0.1813432887863757,0.09328358,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17925234099971915,0.103738315,0.179477613363693,0.10261194,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.1804672810518853,0.09766355,0.1832089542008158,0.08395522,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.0034804611582221192,0.9813084,0.00734535671423577,0.95708954,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.17925234130609816,0.103738315,0.17947761647736848,0.10261194,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18168224764761523,0.09158879,0.17873134808753854,0.106343284,relu,16,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.17897196749103403,0.10514019,0.18059701972932957,0.09701493,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.1800934631133748,0.09953271,0.1757462725265702,0.12126866,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.17878505228278793,0.106074765,0.18358209462308173,0.08208955,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.18046729500605682,0.09766355,0.18320895998335596,0.08395522,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1803738363992388,0.098130845,0.17462687172106842,0.12686567,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18009346286270106,0.09953271,0.17574627363859718,0.12126866,relu,16,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.391656524889937,0.094859816,2.3766508814114244,0.08208955,relu,16,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.370271082459209,0.10887851,2.515974663976413,0.09328358,relu,16,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3029915435291897,0.09672897,2.307020863490318,0.08208955,relu,16,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.3030705786196983,0.104672894,2.306288217430684,0.09701493,relu,16,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.41706185875652,0.101401865,2.4160502775391537,0.08208955,relu,16,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
